epoch,step,train/bpp,train/loss,train/mse,train/psnr,valid/denoise-mse,valid/denoise-psnr,valid/denoise-rate,valid/denoise-ssim,wall_time (min)
0,0,2.700690984725952,14388.0673828125,0.21503981947898865,6.674811363220215,,,,,
0,1,2.6690948009490967,12115.095703125,0.1801573485136032,7.443480014801025,,,,,
0,2,2.642714500427246,308208.71875,4.733753204345703,-6.752056121826172,,,,,
0,3,2.6183645725250244,79181.1875,1.2116637229919434,-0.8338210582733154,,,,,
0,4,2.594980239868164,7287.7607421875,0.10609017312526703,9.743247985839844,,,,,
0,5,2.5719094276428223,11664.044921875,0.1734449714422226,7.608382701873779,,,,,
0,6,2.5479228496551514,9164.349609375,0.1350582242012024,8.69478988647461,,,,,
0,7,2.520535469055176,4559.7236328125,0.06430824100971222,11.917333602905273,,,,,
0,8,2.4958114624023438,3472.0400390625,0.04763811081647873,13.220455169677734,,,,,
0,9,2.471736192703247,6384.7724609375,0.09248769283294678,10.339160919189453,,,,,
0,10,2.446387767791748,6417.33203125,0.0930468887090683,10.312981605529785,,,,,
0,11,2.4197840690612793,7808.06494140625,0.11449591815471649,9.412099838256836,,,,,
0,12,2.394359588623047,3986.24560546875,0.05577995628118515,12.535218238830566,,,,,
0,13,2.3690569400787354,4253.1826171875,0.05994346737861633,12.22258186340332,,,,,
0,14,2.3430354595184326,2704.315673828125,0.03618393465876579,14.414841651916504,,,,,
0,15,2.3170204162597656,2969.561279296875,0.040323078632354736,13.944462776184082,,,,,
0,16,2.2893950939178467,2334.677490234375,0.030623119324445724,15.139505386352539,,,,,
0,17,2.260178327560425,2153.309326171875,0.027901306748390198,15.543754577636719,,,,,
0,18,2.2293570041656494,2214.92578125,0.02891998551785946,15.388019561767578,,,,,
0,19,2.197847843170166,2141.709228515625,0.027866696938872337,15.549144744873047,,,,,
0,20,2.1656692028045654,1854.690185546875,0.02352694794535637,16.284343719482422,,,,,
0,21,2.1336445808410645,1790.994873046875,0.02262127213180065,16.454830169677734,,,,,
0,22,2.1014440059661865,1659.5703125,0.020674411207437515,16.84566879272461,,,,,
0,23,2.068711042404175,1638.1973876953125,0.020421234890818596,16.899179458618164,,,,,
0,23,,,,,0.014587581157684326,18.36016845703125,0.010604571551084518,0.3955770432949066,
0,23,,,,,,,,,0.0
1,24,2.0364301204681396,1883.9609375,0.024275224655866623,16.148366928100586,,,,,
1,25,2.0078020095825195,2469.5888671875,0.03334745764732361,14.769372940063477,,,,,
1,26,1.9740163087844849,2138.314208984375,0.02833082154393196,15.477408409118652,,,,,
1,27,1.942085862159729,2141.2685546875,0.02844991534948349,15.459190368652344,,,,,
1,28,1.913144588470459,2351.3037109375,0.031746745109558105,14.98300838470459,,,,,
1,29,1.8801792860031128,2054.230224609375,0.02725418284535408,15.645668029785156,,,,,
1,30,1.8457046747207642,1927.02197265625,0.025377413257956505,15.955526351928711,,,,,
1,31,1.8141467571258545,1996.291015625,0.026515480130910873,15.765005111694336,,,,,
1,32,1.7832127809524536,1997.54443359375,0.026606112718582153,15.7501859664917,,,,,
1,33,1.7533572912216187,2279.65478515625,0.031013473868370056,15.084495544433594,,,,,
1,34,1.7244868278503418,2869.40234375,0.04014962166547775,13.96318531036377,,,,,
1,35,1.6920368671417236,2121.833984375,0.028727849945425987,15.41696834564209,,,,,
1,36,1.6611415147781372,1849.1776123046875,0.024606019258499146,16.08958625793457,,,,,
1,37,1.6323755979537964,1619.5645751953125,0.021141227334737778,16.74869728088379,,,,,
1,38,1.6026853322982788,1544.1099853515625,0.0200493223965168,16.97900390625,,,,,
